project,year,lender,debt_amount_usd,country,investment_sector
"Luanda Railway Phase I Rehabilitation, 444km (Luanda-Malanje line)",2002,CHEXIM,90000000,Angola,Transportation
"Kipsigak-Serem-Shamakhokho Road, 54km, Loan 2",2001,CIDCA,6000000,Kenya,Transportation
"Addis-Adama Expressway Phase I, 80km",2009,CHEXIM,349000000,Ethiopia,Transportation
"Railway Modernisation Project 1 (Idu-Kaduna), 187km",2010,CHEXIM,500000000,Nigeria,Transportation
Special Train Loan - TAZARA,2001,CIDCA,6000000,Zambia,Transportation
"National Route 1 Pointe-Noire-Brazzaville Road, Phase I (Pointe-Noire to Dolisie, 164km)",2006,CHEXIM,565000000,Republic of Congo,Transportation
Kribi Port Project - Phase I,2011,CHEXIM,423000000,Cameroon,Transportation
Transnet Locomotive Purchases,2015,CDB,1000000000,South Africa,Transportation
"Maputo International Airport Renovation Phase I (CL part, total 117mn)",2007,CHEXIM,50000000,Mozambique,Transportation
"Abidjan-Grand Bassam Highway, 42km",2012,CHEXIM,115000000,Cote d'Ivoire,Transportation
"Cairo-10th of Ramadan-New Administrative Capital Light Rail, 68km (First Loan, total $1.2 billion)",2019,CHEXIM,739000000,Egypt,Transportation
"Thies-Touba Toll Highway, 113km",2015,CHEXIM,689000000,Senegal,Transportation
Equipment Supply to Local Govts,2011,CHEXIM,100000000,Uganda,Transportation
"Accra-Kumasi Road, Ofankor-Nsawam Section Rehablitation and Expansion, 17.4km",2003,CIDCA,22000000,Ghana,Transportation
"Kinshasa, Avenue du Tourisme Refurbishment, 6.8km",2008,CHEXIM,24000000,Democratic Republic of Congo,Transportation
New port gantry cranes,2003,CN Gov,16000000,Djibouti,Transportation
"Port Gentil-Omboue Road and Booue Bridge, 93km, CL Portion",2013,CHEXIM,134000000,Gabon,Transportation
Purchase of 100 Buses,2014,Poly Technologies Inc.,12000000,Sierra Leone,Transportation
Aircraft Parts,2003,CN Gov,41000000,Sudan,Transportation
"N1 Highway Rehabilitation, 96km (Coyah-Mamou-Dabola)",2018,ICBC,375000000,Guinea,Transportation
"Phase I Togolese Road Network Renovation - Lome bypass, Aledjo Fault bypass, Montagne de Defale bypass, Asphalting of N1 between Tandjouare and Cinkasse (Togo-Burkina border), 12.1km",2009,CHEXIM,99000000,Togo,Transportation
Juba International Airport,2014,CHEXIM,158000000,South Sudan,Transportation
Nouakchott Friendship Port Expansion,2009,CHEXIM,293000000,Mauritania,Transportation
"Ivato Airport - Antananarivo Boulevard de l'Europe Expressway, 18.7km",2017,CHEXIM,105000000,Madagascar,Transportation
MA60 Cargo Plane,2005,China National Aero-Technology Import and Export Corporation (CATIC),12000000,Zimbabwe,Transportation
"Kigali Urban Road Upgrade Project, 36km (2009 project)",2009,CHEXIM,36000000,Rwanda,Transportation
"Niefang-Nkue Road, 34km",2001,CIDCA,11000000,Equatorial Guinea,Transportation
Financing for Mauritius Shipping Corporation Ltd.,2004,CHEXIM,5000000,Mauritius,Transportation
"Berrechid–Ben Ahmed Highway project (Section 1 of Berrechid–Beni Mellal), 38.6km",2011,CHEXIM,248000000,Morocco,Transportation
"Akassato-Bohicon Road Lot 3, 72.1km",2013,CHEXIM,132000000,Benin,Transportation
Bamako-Ségou Road Renovation Phase 1,2010,CHEXIM,157000000,Mali,Transportation
17 Diesel Locomotives and 200 Train Cargos,2005,CHEXIM,31000000,Namibia,Transportation
Ha-Mpiti to SehlabaThebe Road 92km,2018,CHEXIM,98000000,Lesotho,Transportation
"Adi-Guaedad to Habela Long Asphalt Road, 29km",2018,CHEXIM,87000000,Eritrea,Transportation
Purchase of 20 trains,2009,CHEXIM,80000000,Tunisia,Transportation
TAZARA rehabilitation (phase 12),2004,CN Gov,5000000,Tanzania,Transportation
Letlhakeng-Kang Road Section I 561 km (Letlhakeng-Dutlwe),2003,CHEXIM,24000000,Botswana,Transportation
Roberts International Airport Rehabilitation,2017,CHEXIM,50000000,Liberia,Transportation
Third Bridge over Niger River (The General Seyni Kountché Bridge),2015,CIDCA,15000000,Niger,Transportation
Y-12E Utility Aircraft Purchase - 2 units,2008,CHEXIM,11000000,Seychelles,Transportation
"Moroni, Prince Said Ibrahim International Airport",2004,CHEXIM,8000000,Comoros,Transportation
"Luanda Electrical Network Expansion, Phase I",2002,CHEXIM,15000000,Angola,Power
"Infrastructure Construction, including Kusile and Medupi power stations",2016,CDB,500000000,South Africa,Power
"Finchaa-Amerti-Neshe (FAN) Hydropower Project, 97MW",2007,CHEXIM,116000000,Ethiopia,Power
El-Jaili (Garri/Qarre) Gas Power Station Phase I 212MW,2001,"Harbin Electric Company, Ltd.",128000000,Sudan,Power
Kariba North Bank Extension Hydropower Project 360 MW,2008,CHEXIM,316000000,Zambia,Power
Volta Lake Resettlement Township Electrification Project under the Upper West Electrification project (USD seller's credit),2000,China International Water & Electric Corporation (CWE),6000000,Ghana,Power
Isimba Hydropower Project 183MW,2014,CHEXIM,483000000,Uganda,Power
Soubre Hydropower Project 275MW,2013,CHEXIM,500000000,Cote d'Ivoire,Power
Tinkisso Hydropower Project 11MW,2004,CN Gov,2000000,Guinea,Power
"Transformers, Cables, Switch Gears",2003,China National Aero-Technology Import and Export Corporation (CATIC),22000000,Zimbabwe,Power
"Kenyan Urban Power Grid Phase I - Chemositsit-Kisii-Meru, 2x132kV Substations, 183 km 132kV & 76km 33kV Power Transmission Lines",2006,CHEXIM,21000000,Kenya,Power
Mekin Hydropower Project 15MW,2010,CHEXIM,51000000,Cameroon,Power
"Ogun State, Papalanto Gas Power Project 335 MW",2002,Shandong Electric Power Construction Corporation III (SEPCO III),115000000,Nigeria,Power
"Tanzania Petroleum Development Corporation (TPDC) Natural Gas Processing Plants and Pipeline, PEBC part (Mnazi Bay to Dar es Salaam - Mtwara Province Gas Pipeline, 432km)",2012,CHEXIM,920000000,Tanzania,Power
Djibloho Hydropower Project 120MW,2006,CHEXIM,257000000,Equatorial Guinea,Power
Imboulou Hydropower Station 120MW,2003,China Machinery Engineering Corporation (CMEC),238000000,Republic of Congo,Power
Morupule B Coal-Fired Power Station Expansion Project 600MW,2009,ICBC,825000000,Botswana,Power
"500kV Transmission Line Project 1210km (Eximbank and ICBC Part, Total $690mil)",2017,MixedCN: CHEXIM & ICBC,459000000,Egypt,Power
